"","ID_IPEDS","year","degree_bach","public","enroll_futg","grant_state","grant_federal","netprice"
"1",219505,2010,TRUE,FALSE,8,1000,19625,17185
"2",219578,2010,TRUE,FALSE,17,55500,52356,18214
"3",219587,2010,FALSE,FALSE,56,0,178068,13905
"4",219596,2010,FALSE,TRUE,252,387359,449860,3062
"5",219602,2010,TRUE,TRUE,1478,4688179,3670314,10296
"6",219639,2010,TRUE,FALSE,53,181500,90417,15105
"7",219709,2010,TRUE,FALSE,1015,1355500,844190,27285
"8",219718,2010,TRUE,FALSE,421,564875,538911,15846
"9",219790,2010,TRUE,FALSE,233,680400,575528,15337
"10",219806,2010,TRUE,FALSE,427,1392763,1031328,14191
"11",219824,2010,FALSE,TRUE,1418,1052264,4232248,7505
"12",219833,2010,TRUE,FALSE,288,1257500,711982,9735
"13",219879,2010,FALSE,TRUE,645,735063,1848675,5697
"14",219888,2010,FALSE,TRUE,892,1183706,2080610,6264
"15",219903,2010,FALSE,FALSE,1103,294726,3705768,19317
"16",219921,2010,FALSE,TRUE,172,325357,746421,5669
"17",219949,2010,TRUE,FALSE,163,582000,300840,15022
"18",219976,2010,TRUE,FALSE,668,1704727,1161924,20240
"19",219994,2010,FALSE,TRUE,476,567407,819298,9765
"20",220002,2010,TRUE,FALSE,208,32004,508992,24956
"21",220057,2010,FALSE,TRUE,726,582391,2316297,8561
"22",220075,2010,TRUE,TRUE,2053,6481501,4880692,13537
"23",220118,2010,FALSE,FALSE,64,10080,308948,17972
"24",220127,2010,FALSE,TRUE,795,582333,1353588,9415
"25",220163,2010,FALSE,FALSE,34,0,75583,10493
"26",220181,2010,TRUE,FALSE,194,219500,589785,18718
"27",220206,2010,TRUE,FALSE,44,60000,65060,15304
"28",220215,2010,TRUE,FALSE,371,985300,829424,16821
"29",220251,2010,FALSE,TRUE,341,386688,749483,9727
"30",220279,2010,FALSE,TRUE,317,298224,429325,6487
"31",220312,2010,TRUE,FALSE,57,62425,179518,13719
"32",220321,2010,FALSE,TRUE,471,398170,564507,11139
"33",220394,2010,FALSE,TRUE,83,101039,389950,8139
"34",220400,2010,FALSE,TRUE,1013,998248,3334073,9959
"35",220464,2010,FALSE,FALSE,19,15745,30470,14822
"36",220473,2010,TRUE,FALSE,157,291819,360206,12887
"37",220491,2010,FALSE,FALSE,190,0,586754,12992
"38",220516,2010,TRUE,FALSE,227,471750,527333,17158
"39",220552,2010,TRUE,FALSE,299,455555,1314754,25127
"40",220598,2010,TRUE,FALSE,696,802452,3714363,9091
"41",220604,2010,TRUE,FALSE,207,137820,468001,11338
"42",220613,2010,TRUE,FALSE,851,1616339,1608577,11620
"43",220631,2010,TRUE,FALSE,327,1228244,892842,12764
"44",220640,2010,FALSE,TRUE,280,299624,583280,4724
"45",220701,2010,TRUE,FALSE,263,101391,67633,28324
"46",220710,2010,TRUE,FALSE,277,1016100,730442,16425
"47",220756,2010,FALSE,TRUE,233,387495,470545,7667
"48",220765,2010,FALSE,FALSE,459,12818,1190132,10114
"49",220808,2010,TRUE,FALSE,76,108375,216843,21710
"50",220853,2010,FALSE,TRUE,659,598000,2464685,7090
"51",220862,2010,TRUE,TRUE,2386,8145587,6714124,10111
"52",220978,2010,TRUE,TRUE,3793,14213904,9647451,9148
"53",221050,2010,FALSE,TRUE,463,558674,639222,7561
"54",221096,2010,FALSE,TRUE,1009,959406,2246656,7686
"55",221102,2010,FALSE,TRUE,457,431680,657663,11796
"56",221148,2010,FALSE,FALSE,1639,19000,5053253,12689
"57",221157,2010,FALSE,FALSE,186,6000,656016,21864
"58",221184,2010,FALSE,TRUE,889,439323,2743702,5462
"59",221236,2010,FALSE,TRUE,181,356950,881350,491
"60",221254,2010,TRUE,FALSE,29,93250,69750,22370
"61",221281,2010,FALSE,TRUE,363,104890,1578732,6479
"62",221333,2010,FALSE,TRUE,328,488482,1091020,9535
"63",221351,2010,TRUE,FALSE,499,631250,495013,25540
"64",221388,2010,FALSE,TRUE,147,5493,461279,7527
"65",221397,2010,FALSE,TRUE,1217,1630837,3437324,8036
"66",221430,2010,FALSE,TRUE,294,469800,869852,4633
"67",221485,2010,FALSE,TRUE,1798,772382,6203854,3531
"68",221494,2010,FALSE,TRUE,531,535598,508572,7298
"69",221519,2010,TRUE,FALSE,401,439470,371880,23851
"70",221582,2010,FALSE,TRUE,336,323161,887243,5688
"71",221591,2010,FALSE,TRUE,147,246829,664096,7768
"72",221607,2010,FALSE,TRUE,189,218758,422584,7230
"73",221616,2010,FALSE,TRUE,641,1211888,2416556,5477
"74",221625,2010,FALSE,TRUE,650,656347,980558,5494
"75",221634,2010,FALSE,TRUE,209,26400,1005942,11274
"76",221643,2010,FALSE,TRUE,1762,1481376,4157443,9822
"77",221661,2010,TRUE,FALSE,613,426454,1065696,19376
"78",221731,2010,TRUE,FALSE,218,887527,609257,11585
"79",221740,2010,TRUE,TRUE,1940,7708992,3487620,12730
"80",221759,2010,TRUE,TRUE,4199,16829052,6159151,13758
"81",221768,2010,TRUE,TRUE,1275,5266099,3488456,7773
"82",221795,2010,TRUE,FALSE,69,16000,175000,27756
"83",221829,2010,FALSE,FALSE,172,0,181006,8310
"84",221838,2010,TRUE,TRUE,1291,2069288,5662818,6624
"85",221847,2010,TRUE,TRUE,1899,7839909,3762762,11308
"86",221892,2010,TRUE,FALSE,241,497000,561572,16038
"87",221908,2010,FALSE,TRUE,1140,1085461,3364568,7167
"88",221953,2010,TRUE,FALSE,370,1069127,1411942,15689
"89",221971,2010,TRUE,FALSE,489,1431662,941550,23727
"90",221999,2010,TRUE,FALSE,1600,1122384,2204907,18993
"91",222026,2010,FALSE,FALSE,74,0,249996,8692
"92",222053,2010,FALSE,TRUE,1414,1456974,3827036,6417
"93",222062,2010,FALSE,TRUE,1415,1885322,3732574,4508
"94",222099,2010,FALSE,FALSE,406,47200,1222220,9087
"95",222105,2010,FALSE,FALSE,22,0,29612,11612
"96",246202,2010,FALSE,FALSE,348,6500,1179023,21055
"97",248660,2010,FALSE,FALSE,39,0,126013,8075
"98",248925,2010,FALSE,TRUE,599,1030453,2056822,7993
"99",368443,2010,TRUE,FALSE,199,27322,1016927,26342
"100",368452,2010,TRUE,FALSE,115,7000,182607,16584
"101",376631,2010,FALSE,FALSE,25,0,80440,9671
